id,label,lineno,name,path
_extract_output,Function,124,_extract_output,src/gitingest/utils/notebook_utils.py
src/gitingest/utils/os_utils.py,File,,os_utils.py,src/gitingest/utils/os_utils.py
ensure_directory,Function,7,ensure_directory,src/gitingest/utils/os_utils.py
src/gitingest/utils/path_utils.py,File,,path_utils.py,src/gitingest/utils/path_utils.py
_is_safe_symlink,Function,8,_is_safe_symlink,src/gitingest/utils/path_utils.py
src/gitingest/utils/query_parser_utils.py,File,,query_parser_utils.py,src/gitingest/utils/query_parser_utils.py
_is_valid_git_commit_hash,Function,20,_is_valid_git_commit_hash,src/gitingest/utils/query_parser_utils.py
_is_valid_pattern,Function,40,_is_valid_pattern,src/gitingest/utils/query_parser_utils.py
_validate_host,Function,61,_validate_host,src/gitingest/utils/query_parser_utils.py
_looks_like_git_host,Function,84,_looks_like_git_host,src/gitingest/utils/query_parser_utils.py
_validate_url_scheme,Function,105,_validate_url_scheme,src/gitingest/utils/query_parser_utils.py
_get_user_and_repo_from_path,Function,124,_get_user_and_repo_from_path,src/gitingest/utils/query_parser_utils.py
_normalize_pattern,Function,149,_normalize_pattern,src/gitingest/utils/query_parser_utils.py
src/gitingest/utils/timeout_wrapper.py,File,,timeout_wrapper.py,src/gitingest/utils/timeout_wrapper.py
async_timeout,Function,12,async_timeout,src/gitingest/utils/timeout_wrapper.py
async_timeout.decorator,Function,33,decorator,src/gitingest/utils/timeout_wrapper.py
async_timeout.decorator.wrapper,Function,35,wrapper,src/gitingest/utils/timeout_wrapper.py
src/server/__init__.py,File,,__init__.py,src/server/__init__.py
src/server/main.py,File,,main.py,src/server/main.py
health_check,Function,48,health_check,src/server/main.py
head_root,Function,61,head_root,src/server/main.py
api_docs,Function,77,api_docs,src/server/main.py
robots,Function,95,robots,src/server/main.py
llm_txt,Function,108,llm_txt,src/server/main.py
src/server/query_processor.py,File,,query_processor.py,src/server/query_processor.py
process_query,Function,16,process_query,src/server/query_processor.py
_print_query,Function,144,_print_query,src/server/query_processor.py
_print_error,Function,169,_print_error,src/server/query_processor.py
_print_success,Function,192,_print_success,src/server/query_processor.py
src/server/server_config.py,File,,server_config.py,src/server/server_config.py
src/server/server_utils.py,File,,server_utils.py,src/server/server_utils.py
rate_limit_exception_handler,Function,23,rate_limit_exception_handler,src/server/server_utils.py
lifespan,Function,52,lifespan,src/server/server_utils.py
_remove_old_repositories,Function,77,_remove_old_repositories,src/server/server_utils.py
_process_folder,Function,113,_process_folder,src/server/server_utils.py
log_slider_to_size,Function,145,log_slider_to_size,src/server/server_utils.py
Colors,Class,166,Colors,src/server/server_utils.py
src/server/routers/__init__.py,File,,__init__.py,src/server/routers/__init__.py
src/server/routers/download.py,File,,download.py,src/server/routers/download.py
download_ingest,Function,12,download_ingest,src/server/routers/download.py
src/server/routers/dynamic.py,File,,dynamic.py,src/server/routers/dynamic.py
catch_all,Function,14,catch_all,src/server/routers/dynamic.py
process_catch_all,Function,47,process_catch_all,src/server/routers/dynamic.py
src/server/routers/index.py,File,,index.py,src/server/routers/index.py
home,Function,14,home,src/server/routers/index.py
index_post,Function,44,index_post,src/server/routers/index.py
src/server/templates/api.jinja,File,,api.jinja,src/server/templates/api.jinja
src/server/templates/base.jinja,File,,base.jinja,src/server/templates/base.jinja
src/server/templates/git.jinja,File,,git.jinja,src/server/templates/git.jinja
src/server/templates/index.jinja,File,,index.jinja,src/server/templates/index.jinja
src/server/templates/components/badge_new.jinja,File,,badge_new.jinja,src/server/templates/components/badge_new.jinja
src/server/templates/components/footer.jinja,File,,footer.jinja,src/server/templates/components/footer.jinja
src/server/templates/components/git_form.jinja,File,,git_form.jinja,src/server/templates/components/git_form.jinja
src/server/templates/components/navbar.jinja,File,,navbar.jinja,src/server/templates/components/navbar.jinja
src/server/templates/components/result.jinja,File,,result.jinja,src/server/templates/components/result.jinja
src/static/llm.txt,File,,llm.txt,src/static/llm.txt
src/main.py,File,,main.py,src/main.py
hello_world,Function,1,hello_world,src/main.py
src/static/robots.txt,File,,robots.txt,src/static/robots.txt
src/static/js/utils.js,File,,utils.js,src/static/js/utils.js
tests/__init__.py,File,,__init__.py,tests/__init__.py
tests/conftest.py,File,,conftest.py,tests/conftest.py
sample_query,Function,25,sample_query,tests/conftest.py
temp_directory,Function,52,temp_directory,tests/conftest.py
write_notebook,Function,114,write_notebook,tests/conftest.py
write_notebook._write_notebook,Function,130,_write_notebook,tests/conftest.py
stub_branches,Function,140,stub_branches,tests/conftest.py
stub_branches._factory,Function,143,_factory,tests/conftest.py
repo_exists_true,Function,159,repo_exists_true,tests/conftest.py
run_command_mock,Function,171,run_command_mock,tests/conftest.py
tests/test_cli.py,File,,test_cli.py,tests/test_cli.py
test_cli_writes_file,Function,37,test_cli_writes_file,tests/test_cli.py
test_cli_with_stdout_output,Function,55,test_cli_with_stdout_output,tests/test_cli.py
_invoke_isolated_cli_runner,Function,85,_invoke_isolated_cli_runner,tests/test_cli.py
tests/test_flow_integration.py,File,,test_flow_integration.py,tests/test_flow_integration.py
test_client,Function,20,test_client,tests/test_flow_integration.py
mock_static_files,Function,28,mock_static_files,tests/test_flow_integration.py
mock_templates,Function,36,mock_templates,tests/test_flow_integration.py
cleanup_tmp_dir,Function,44,cleanup_tmp_dir,tests/test_flow_integration.py
test_remote_repository_analysis,Function,56,test_remote_repository_analysis,tests/test_flow_integration.py
test_invalid_repository_url,Function,73,test_invalid_repository_url,tests/test_flow_integration.py
test_large_repository,Function,90,test_large_repository,tests/test_flow_integration.py
test_concurrent_requests,Function,107,test_concurrent_requests,tests/test_flow_integration.py
test_concurrent_requests.make_request,Function,111,make_request,tests/test_flow_integration.py
test_large_file_handling,Function,130,test_large_file_handling,tests/test_flow_integration.py
test_repository_with_patterns,Function,147,test_repository_with_patterns,tests/test_flow_integration.py
tests/test_git_utils.py,File,,test_git_utils.py,tests/test_git_utils.py
test_validate_github_token_valid,Function,29,test_validate_github_token_valid,tests/test_git_utils.py
test_validate_github_token_invalid,Function,45,test_validate_github_token_invalid,tests/test_git_utils.py
test_create_git_command,Function,80,test_create_git_command,tests/test_git_utils.py
test_create_git_command_invalid_token,Function,92,test_create_git_command_invalid_token,tests/test_git_utils.py
test_create_git_auth_header,Function,110,test_create_git_auth_header,tests/test_git_utils.py
test_create_git_command_helper_calls,Function,126,test_create_git_command_helper_calls,tests/test_git_utils.py
tests/test_gitignore_feature.py,File,,test_gitignore_feature.py,tests/test_gitignore_feature.py
repo_fixture,Function,14,repo_fixture,tests/test_gitignore_feature.py
test_load_gitignore_patterns,Function,36,test_load_gitignore_patterns,tests/test_gitignore_feature.py
test_ingest_with_gitignore,Function,55,test_ingest_with_gitignore,tests/test_gitignore_feature.py
tests/test_ingestion.py,File,,test_ingestion.py,tests/test_ingestion.py
test_run_ingest_query,Function,18,test_run_ingest_query,tests/test_ingestion.py
PatternScenario,Class,52,PatternScenario,tests/test_ingestion.py
test_include_ignore_patterns,Function,196,test_include_ignore_patterns,tests/test_ingestion.py
tests/test_notebook_utils.py,File,,test_notebook_utils.py,tests/test_notebook_utils.py
test_process_notebook_all_cells,Function,15,test_process_notebook_all_cells,tests/test_notebook_utils.py
test_process_notebook_with_worksheets,Function,47,test_process_notebook_with_worksheets,tests/test_notebook_utils.py
test_process_notebook_multiple_worksheets,Function,81,test_process_notebook_multiple_worksheets,tests/test_notebook_utils.py
test_process_notebook_code_only,Function,131,test_process_notebook_code_only,tests/test_notebook_utils.py
test_process_notebook_markdown_only,Function,153,test_process_notebook_markdown_only,tests/test_notebook_utils.py
test_process_notebook_raw_only,Function,175,test_process_notebook_raw_only,tests/test_notebook_utils.py
test_process_notebook_empty_cells,Function,197,test_process_notebook_empty_cells,tests/test_notebook_utils.py
test_process_notebook_invalid_cell_type,Function,220,test_process_notebook_invalid_cell_type,tests/test_notebook_utils.py
test_process_notebook_with_output,Function,240,test_process_notebook_with_output,tests/test_notebook_utils.py
tests/test_repository_clone.py,File,,test_repository_clone.py,tests/test_repository_clone.py
test_clone_with_commit,Function,28,test_clone_with_commit,tests/test_repository_clone.py
test_clone_without_commit,Function,50,test_clone_without_commit,tests/test_repository_clone.py
test_clone_nonexistent_repository,Function,67,test_clone_nonexistent_repository,tests/test_repository_clone.py
test_check_repo_exists,Function,99,test_check_repo_exists,tests/test_repository_clone.py
test_clone_with_custom_branch,Function,119,test_clone_with_custom_branch,tests/test_repository_clone.py
test_git_command_failure,Function,144,test_git_command_failure,tests/test_repository_clone.py
test_clone_default_shallow_clone,Function,161,test_clone_default_shallow_clone,tests/test_repository_clone.py
test_clone_commit_without_branch,Function,184,test_clone_commit_without_branch,tests/test_repository_clone.py
test_check_repo_exists_with_redirect,Function,203,test_check_repo_exists_with_redirect,tests/test_repository_clone.py
test_check_repo_exists_with_permanent_redirect,Function,223,test_check_repo_exists_with_permanent_redirect,tests/test_repository_clone.py
test_clone_with_timeout,Function,243,test_clone_with_timeout,tests/test_repository_clone.py
test_clone_specific_branch,Function,260,test_clone_specific_branch,tests/test_repository_clone.py
test_clone_branch_with_slashes,Function,282,test_clone_branch_with_slashes,tests/test_repository_clone.py
test_clone_creates_parent_directory,Function,309,test_clone_creates_parent_directory,tests/test_repository_clone.py
test_clone_with_specific_subpath,Function,334,test_clone_with_specific_subpath,tests/test_repository_clone.py
test_clone_with_commit_and_subpath,Function,365,test_clone_with_commit_and_subpath,tests/test_repository_clone.py
tests/.pylintrc,File,,.pylintrc,tests/.pylintrc
tests/query_parser/__init__.py,File,,__init__.py,tests/query_parser/__init__.py
tests/query_parser/test_git_host_agnostic.py,File,,test_git_host_agnostic.py,tests/query_parser/test_git_host_agnostic.py
test_parse_query_without_host,Function,31,test_parse_query_without_host,tests/query_parser/test_git_host_agnostic.py
tests/query_parser/test_query_parser.py,File,,test_query_parser.py,tests/query_parser/test_query_parser.py
test_parse_url_valid_https,Function,37,test_parse_url_valid_https,tests/query_parser/test_query_parser.py
test_parse_url_valid_http,Function,46,test_parse_url_valid_http,tests/query_parser/test_query_parser.py
test_parse_url_invalid,Function,52,test_parse_url_invalid,tests/query_parser/test_query_parser.py
test_parse_query_basic,Function,68,test_parse_query_basic,tests/query_parser/test_query_parser.py
test_parse_query_mixed_case,Function,86,test_parse_query_mixed_case,tests/query_parser/test_query_parser.py
